model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 C Class,2019.0,26249,Semi-Auto,3696.0,Petrol,145.0,43.5,2.0
 C Class,2019.0,34249,Semi-Auto,1000.0,Diesel,145.0,61.4,2.0
 E Class,2017.0,22998,Semi-Auto,9926.0,Diesel,150.0,65.7,2.0
 CL Class,2015.0,13500,Semi-Auto,54029.0,Diesel,20.0,62.8,2.1
 C Class,2019.0,31990,Semi-Auto,4615.0,Diesel,145.0,54.3,2.0
 CLS Class,2019.0,36490,Semi-Auto,7036.0,Diesel,145.0,48.7,2.9
 SL CLASS,2014.0,20000,Automatic,57000.0,Petrol,240.0,37.7,3.5
 A Class,2018.0,18640,Semi-Auto,12801.0,Diesel,145.0,65.7,1.5
 C Class,2018.0,23390,Semi-Auto,16045.0,Diesel,145.0,58.9,2.0
 A Class,2019.0,25490,Automatic,6108.0,Diesel,145.0,56.5,2.0
 SL CLASS,2019.0,32889,Semi-Auto,522.0,Petrol,145.0,47.1,2.0
 C Class,2019.0,28999,Semi-Auto,2392.0,Petrol,150.0,46.3,1.5
 A Class,2018.0,17092,Semi-Auto,27272.0,Diesel,145.0,65.7,1.5
 C Class,2016.0,15679,Automatic,60619.0,Hybrid,0.0,134.5,2.0
 S Class,2020.0,64980,Semi-Auto,3999.0,Diesel,145.0,40.4,3.0
 C Class,2019.0,30675,Automatic,1550.0,Diesel,145.0,64.2,2.0
 CL Class,2019.0,24540,Semi-Auto,9802.0,Petrol,150.0,44.8,1.3
 SL CLASS,2019.0,30799,Automatic,4210.0,Petrol,145.0,47.1,2.0
 CL Class,2016.0,20995,Semi-Auto,8008.0,Diesel,20.0,67.3,2.1
 C Class,2017.0,16750,Semi-Auto,20000.0,Diesel,145.0,65.7,2.1
 GLC Class,2020.0,62189,Semi-Auto,1000.0,Petrol,145.0,22.1,4.0
 E Class,2019.0,42399,Semi-Auto,2293.0,Petrol,145.0,32.9,2.0
 A Class,2017.0,15998,Semi-Auto,38457.0,Diesel,20.0,68.9,2.1
 E Class,2016.0,20680,Semi-Auto,25962.0,Diesel,160.0,52.3,3.0
 GLA Class,2018.0,20822,Automatic,10002.0,Petrol,145.0,44.8,1.6
 C Class,2016.0,15750,Automatic,15000.0,Diesel,20.0,65.7,2.1
 GL Class,2018.0,19999,Automatic,13436.0,Petrol,145.0,50.4,1.6
 B Class,2014.0,10195,Automatic,58000.0,Diesel,30.0,60.1,1.8
 E Class,2017.0,19999,Semi-Auto,29392.0,Diesel,145.0,72.4,2.0
 V Class,2019.0,20391,Automatic,18266.0,Diesel,150.0,48.7,2.1
 C Class,2016.0,32890,Automatic,23485.0,Petrol,300.0,34.0,3.0
 E Class,2019.0,43099,Semi-Auto,1000.0,Diesel,145.0,46.3,3.0
 B Class,2019.0,22749,Automatic,10101.0,Diesel,145.0,60.1,1.5
 C Class,2013.0,12000,Automatic,37236.0,Petrol,160.0,44.8,1.6
 A Class,2017.0,15700,Automatic,24460.0,Diesel,20.0,74.3,1.5
 A Class,2020.0,26981,Semi-Auto,4000.0,Diesel,145.0,56.5,2.0
 C Class,2019.0,21480,Manual,2332.0,Petrol,145.0,47.1,1.6
 A Class,2017.0,15999,Manual,12279.0,Diesel,20.0,68.9,1.5
 C Class,2017.0,25248,Automatic,24003.0,Petrol,200.0,40.9,2.0
 GL Class,2017.0,26499,Automatic,8442.0,Diesel,145.0,56.5,2.1
 CLS Class,2016.0,21998,Semi-Auto,29306.0,Diesel,160.0,51.4,3.0
 C Class,2019.0,24980,Semi-Auto,11589.0,Petrol,145.0,45.6,1.5
 A Class,2017.0,13477,Manual,43000.0,Diesel,0.0,80.7,1.5
 GLE Class,2017.0,30300,Semi-Auto,11309.0,Diesel,265.0,42.8,3.0
 A Class,2018.0,16970,Manual,11447.0,Petrol,145.0,49.6,1.6
 V Class,2019.0,20391,Automatic,18552.0,Diesel,150.0,48.7,2.1
 CL Class,2017.0,32990,Semi-Auto,22000.0,Petrol,205.0,40.9,2.0
 C Class,2019.0,26699,Semi-Auto,10597.0,Petrol,145.0,46.3,1.5
 B Class,2020.0,24495,Semi-Auto,101.0,Diesel,145.0,55.4,2.0
 GLC Class,2019.0,35995,Semi-Auto,7132.0,Diesel,145.0,40.9,2.0
 GLC Class,2020.0,39990,Semi-Auto,3125.0,Diesel,145.0,40.9,2.0
 A Class,2016.0,12456,Manual,49436.0,Diesel,20.0,72.4,1.5
 CL Class,2015.0,13750,Manual,41142.0,Petrol,145.0,48.7,1.6
 A Class,2017.0,16480,Semi-Auto,11456.0,Diesel,20.0,70.6,2.1
 C Class,2019.0,29899,Semi-Auto,8601.0,Diesel,145.0,57.7,2.0
 C Class,2019.0,19849,Semi-Auto,14017.0,Petrol,145.0,46.3,1.5
 E Class,2017.0,16989,Automatic,66069.0,Diesel,20.0,72.4,2.0
 C Class,2016.0,20365,Semi-Auto,21430.0,Petrol,145.0,49.6,2.0
 SL CLASS,2019.0,32999,Semi-Auto,100.0,Petrol,145.0,47.1,2.0
 GLA Class,2019.0,25599,Semi-Auto,37.0,Diesel,145.0,64.2,2.1
 A Class,2014.0,13999,Semi-Auto,35000.0,Diesel,20.0,64.2,2.1
 GLS Class,2018.0,46532,Automatic,5987.0,Diesel,145.0,37.2,3.0
 C Class,2016.0,20503,Automatic,80612.0,Petrol,200.0,42.8,2.0
 A Class,2016.0,15200,Semi-Auto,39057.0,Diesel,20.0,74.3,1.5
 CLS Class,2015.0,18990,Automatic,20000.0,Diesel,125.0,57.7,2.1
 A Class,2016.0,12999,Manual,18593.0,Diesel,0.0,80.7,1.5
 C Class,2016.0,20991,Semi-Auto,26205.0,Diesel,125.0,58.9,2.1
 A Class,2019.0,21498,Semi-Auto,5685.0,Diesel,145.0,65.7,1.5
 A Class,2019.0,22702,Semi-Auto,11615.0,Diesel,145.0,67.3,1.5
 A Class,2016.0,15299,Automatic,20781.0,Diesel,20.0,70.6,2.1
 GL Class,2015.0,19499,Automatic,14295.0,Diesel,125.0,55.4,2.1
 C Class,2016.0,22790,Semi-Auto,9600.0,Petrol,145.0,49.6,2.0
 C Class,2017.0,18801,Semi-Auto,14812.0,Diesel,145.0,64.2,1.6
 GLC Class,2019.0,39900,Automatic,2502.0,Petrol,150.0,32.1,2.0
 C Class,2018.0,17900,Automatic,28446.0,Diesel,145.0,61.4,2.1
 E Class,2019.0,27980,Semi-Auto,14159.0,Diesel,145.0,65.7,2.0
 A Class,2019.0,20640,Semi-Auto,5864.0,Petrol,145.0,53.3,1.3
 E Class,2019.0,43599,Semi-Auto,3664.0,Petrol,145.0,32.1,3.0
 S Class,2019.0,58990,Automatic,6501.0,Diesel,145.0,52.3,3.0
 GLS Class,2016.0,33000,Automatic,42924.0,Diesel,300.0,37.2,3.0
 CLA Class,2015.0,16250,Automatic,32895.0,Diesel,20.0,67.3,2.1
 A Class,2019.0,22699,Automatic,1770.0,Diesel,145.0,62.8,1.5
 GLC Class,2018.0,31950,Semi-Auto,34229.0,Diesel,145.0,56.5,2.1
 CL Class,2019.0,25999,Semi-Auto,14521.0,Diesel,145.0,51.4,2.2
 E Class,2019.0,44995,Automatic,1842.0,Diesel,145.0,47.1,2.9
 GLA Class,2016.0,19490,Semi-Auto,29766.0,Diesel,125.0,56.5,2.1
 SLK,2015.0,14365,Semi-Auto,34465.0,Petrol,200.0,43.5,2.0
 S Class,2015.0,32249,Automatic,8052.0,Petrol,325.0,31.7,4.7
 C Class,2019.0,30980,Semi-Auto,16.0,Diesel,145.0,61.4,2.0
 C Class,2017.0,18999,Semi-Auto,21459.0,Diesel,145.0,64.2,2.1
 E Class,2018.0,23480,Automatic,13520.0,Diesel,145.0,61.4,2.0
 C Class,2014.0,13799,Automatic,62588.0,Diesel,30.0,62.8,2.1
 A Class,2014.0,10500,Manual,81000.0,Diesel,20.0,72.4,1.5
 A Class,2019.0,20980,Semi-Auto,8655.0,Diesel,145.0,68.9,1.5
 X-CLASS,2019.0,22495,Automatic,500.0,Diesel,260.0,35.8,2.3
 A Class,2016.0,16995,Semi-Auto,21644.0,Diesel,20.0,68.9,2.1
 M Class,2013.0,15880,Semi-Auto,62791.0,Diesel,300.0,39.2,3.0
 GLE Class,2017.0,28124,Semi-Auto,33053.0,Diesel,200.0,47.9,2.1
 GLC Class,2016.0,19500,Automatic,60773.0,Diesel,125.0,56.5,2.1
 C Class,2017.0,19980,Semi-Auto,29198.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,28900,Automatic,11530.0,Diesel,145.0,57.7,2.0
 C Class,2019.0,30899,Semi-Auto,7942.0,Diesel,145.0,57.7,2.0
 E Class,2019.0,48799,Semi-Auto,3074.0,Diesel,145.0,45.6,3.0
 CL Class,2019.0,27980,Semi-Auto,4197.0,Petrol,145.0,44.1,1.3
 A Class,2015.0,12798,Manual,54859.0,Diesel,20.0,70.6,1.5
 E Class,2017.0,32695,Semi-Auto,20000.0,Petrol,145.0,33.6,3.0
 C Class,2019.0,19899,Semi-Auto,13359.0,Petrol,145.0,46.3,1.5
 CL Class,2017.0,18300,Semi-Auto,31800.0,Diesel,20.0,67.3,2.1
 CL Class,2016.0,22661,Semi-Auto,14776.0,Petrol,200.0,42.8,2.0
 E Class,2014.0,14000,Automatic,40262.0,Diesel,125.0,57.7,2.1
 B Class,2016.0,13999,Semi-Auto,40500.0,Diesel,20.0,68.9,2.1
 C Class,2017.0,15250,Semi-Auto,45431.0,Diesel,145.0,64.2,2.1
 A Class,2017.0,18890,Automatic,7875.0,Petrol,150.0,53.3,1.6
 C Class,2019.0,31699,Semi-Auto,3358.0,Diesel,145.0,57.7,2.0
 C Class,2019.0,28990,Automatic,3635.0,Diesel,145.0,64.2,2.0
 C Class,2019.0,21980,Automatic,7716.0,Petrol,145.0,45.6,1.5
 C Class,2019.0,25890,Automatic,10454.0,Diesel,145.0,64.2,2.0
 E Class,2019.0,34499,Semi-Auto,1825.0,Diesel,145.0,70.6,2.0
 C Class,2017.0,18498,Semi-Auto,20618.0,Diesel,30.0,64.2,2.1
 E Class,2010.0,5995,Automatic,121000.0,Diesel,300.0,39.8,3.0
 C Class,2015.0,18799,Semi-Auto,37890.0,Diesel,30.0,64.2,2.1
 CLS Class,2018.0,31796,Semi-Auto,14130.0,Diesel,150.0,48.7,2.9
 A Class,2016.0,12790,Semi-Auto,54803.0,Diesel,20.0,74.3,1.5
 C Class,2017.0,24502,Semi-Auto,22079.0,Diesel,145.0,67.3,2.1
 GLC Class,2017.0,27890,Semi-Auto,14891.0,Diesel,150.0,56.5,2.1
 E Class,2013.0,14999,Automatic,41920.0,Diesel,200.0,47.1,3.0
 A Class,2020.0,26039,Semi-Auto,4000.0,Petrol,145.0,28.5,2.0
 C Class,2015.0,17200,Automatic,40961.0,Diesel,125.0,60.1,2.1
 B Class,2019.0,23980,Semi-Auto,4012.0,Diesel,145.0,55.4,2.0
 B Class,2019.0,19424,Semi-Auto,14118.0,Petrol,150.0,45.6,1.3
 E Class,2019.0,29480,Semi-Auto,7859.0,Diesel,145.0,61.4,2.0
 C Class,2017.0,18500,Automatic,36831.0,Diesel,145.0,61.4,2.1
 A Class,2017.0,15499,Manual,20645.0,Diesel,145.0,68.9,1.5
 B Class,2017.0,14298,Manual,12349.0,Diesel,150.0,68.9,1.5
 SL CLASS,2019.0,60099,Automatic,38.0,Petrol,145.0,29.4,3.0
 E Class,2019.0,25299,Semi-Auto,15563.0,Diesel,145.0,72.4,2.0
 E Class,2016.0,20998,Semi-Auto,16843.0,Diesel,145.0,54.3,3.0
 C Class,2016.0,17999,Automatic,25108.0,Diesel,30.0,64.2,2.1
 A Class,2017.0,15042,Manual,18033.0,Diesel,20.0,72.4,1.5
 C Class,2019.0,30995,Automatic,2499.0,Petrol,145.0,42.8,2.0
 CLA Class,2020.0,29498,Automatic,1000.0,Petrol,145.0,44.8,1.3
 C Class,2019.0,26789,Semi-Auto,4680.0,Petrol,145.0,45.6,1.5
 C Class,2016.0,15890,Semi-Auto,34499.0,Diesel,20.0,65.7,2.1
 A Class,2017.0,15892,Manual,29785.0,Diesel,145.0,68.9,1.5
 A Class,2019.0,18780,Semi-Auto,17676.0,Diesel,145.0,65.7,1.5
 C Class,2019.0,31609,Semi-Auto,1000.0,Diesel,145.0,64.2,2.0
 GLA Class,2018.0,18400,Automatic,19523.0,Diesel,145.0,67.3,2.1
 B Class,2013.0,8998,Semi-Auto,49674.0,Diesel,30.0,64.2,1.8
 GLC Class,2016.0,20950,Automatic,27000.0,Diesel,125.0,56.5,2.1
 B Class,2019.0,22099,Semi-Auto,14140.0,Petrol,145.0,45.6,1.3
 GLC Class,2016.0,22498,Semi-Auto,26210.0,Diesel,125.0,56.5,2.1
 C Class,2013.0,10190,Automatic,60841.0,Diesel,145.0,53.3,2.1
 GLC Class,2016.0,20510,Semi-Auto,29340.0,Diesel,125.0,56.5,2.1
 V Class,2019.0,39950,Automatic,2738.0,Diesel,145.0,44.8,2.2
 C Class,2019.0,20299,Semi-Auto,14316.0,Petrol,150.0,46.3,1.5
 A Class,2014.0,14199,Automatic,24941.0,Diesel,20.0,64.2,2.1
 E Class,2015.0,13295,Automatic,54473.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,26699,Semi-Auto,6718.0,Petrol,145.0,46.3,1.5
 A Class,2014.0,12950,Automatic,59000.0,Petrol,195.0,44.1,2.0
 A Class,2016.0,13490,Manual,35000.0,Petrol,145.0,49.6,1.6
 A Class,2015.0,11998,Semi-Auto,50244.0,Diesel,20.0,68.9,1.5
 E Class,2014.0,14000,Automatic,43413.0,Diesel,145.0,58.9,2.1
 C Class,2017.0,27462,Automatic,13258.0,Petrol,145.0,44.1,2.0
 B Class,2019.0,23480,Semi-Auto,1992.0,Diesel,145.0,55.4,2.0
 GLE Class,2019.0,47995,Automatic,7848.0,Diesel,150.0,36.7,2.0
 A Class,2016.0,15650,Automatic,31976.0,Diesel,20.0,74.3,1.5
 C Class,2019.0,29980,Semi-Auto,9454.0,Diesel,145.0,57.7,2.0
 GLC Class,2018.0,34995,Automatic,5551.0,Diesel,145.0,56.5,2.1
 E Class,2017.0,19922,Semi-Auto,22198.0,Diesel,20.0,72.4,2.0
 A Class,2017.0,14830,Automatic,39432.0,Diesel,20.0,74.3,1.5
 E Class,2018.0,30480,Semi-Auto,9096.0,Diesel,145.0,57.7,2.0
 GLA Class,2020.0,22999,Semi-Auto,99.0,Petrol,145.0,44.8,1.6
 GLA Class,2019.0,25099,Semi-Auto,4891.0,Diesel,145.0,64.2,2.1
 X-CLASS,2017.0,24990,Automatic,23219.0,Diesel,140.0,35.8,2.3
 E Class,2016.0,19552,Semi-Auto,14815.0,Diesel,125.0,61.4,2.1
 GLA Class,2015.0,12980,Semi-Auto,85000.0,Diesel,30.0,62.8,2.1
 E Class,2019.0,25780,Semi-Auto,14228.0,Diesel,145.0,72.4,2.0
 A Class,2018.0,16600,Automatic,17005.0,Diesel,150.0,74.3,1.5
 C Class,2018.0,16999,Automatic,26329.0,Petrol,145.0,50.4,2.0
 C Class,2019.0,20980,Semi-Auto,13253.0,Diesel,145.0,61.4,2.0
 GLA Class,2017.0,23599,Semi-Auto,6009.0,Diesel,145.0,56.5,2.1
 C Class,2015.0,14990,Automatic,39000.0,Diesel,20.0,64.2,2.1
 E Class,2019.0,34890,Semi-Auto,13883.0,Diesel,145.0,48.7,3.0
 C Class,2018.0,18900,Automatic,23570.0,Diesel,145.0,61.4,2.1
 C Class,2017.0,23649,Semi-Auto,19758.0,Petrol,150.0,47.1,2.0
 C Class,2017.0,20700,Automatic,23434.0,Petrol,150.0,48.7,2.0
 C Class,2017.0,20790,Semi-Auto,22485.0,Hybrid,0.0,74.3,2.1
 E Class,2019.0,56399,Semi-Auto,3105.0,Petrol,145.0,31.7,3.0
 E Class,2019.0,24899,Semi-Auto,13474.0,Diesel,145.0,72.4,2.0
 C Class,2019.0,30399,Semi-Auto,9829.0,Diesel,145.0,54.3,2.0
 E Class,2019.0,25780,Semi-Auto,12994.0,Diesel,145.0,72.4,2.0
 GLA Class,2014.0,14790,Semi-Auto,52722.0,Diesel,145.0,55.4,2.1
 V Class,2018.0,19498,Manual,24164.0,Diesel,145.0,46.3,2.1
 C Class,2014.0,13491,Manual,56000.0,Diesel,20.0,68.9,2.1
 GLA Class,2015.0,17998,Semi-Auto,42942.0,Petrol,200.0,42.8,2.0
 E Class,2020.0,38399,Semi-Auto,1000.0,Diesel,145.0,70.6,2.0
 A Class,2016.0,13823,Automatic,25151.0,Diesel,0.0,76.4,1.5
 GLA Class,2014.0,15999,Semi-Auto,33487.0,Diesel,145.0,55.4,2.1
 B Class,2019.0,25799,Automatic,7562.0,Diesel,145.0,55.4,2.0
 C Class,2017.0,14990,Semi-Auto,27424.0,Diesel,145.0,65.7,2.1
 C Class,2019.0,27480,Automatic,8248.0,Diesel,145.0,57.7,2.0
 GLA Class,2015.0,16299,Semi-Auto,44588.0,Diesel,125.0,56.6,2.1
 A Class,2014.0,11699,Automatic,60143.0,Diesel,20.0,64.2,2.1
 C Class,2017.0,24495,Automatic,14200.0,Diesel,150.0,58.9,2.1
 C Class,2019.0,29249,Semi-Auto,12972.0,Diesel,145.0,57.7,2.0
 GLC Class,2016.0,26498,Automatic,30000.0,Diesel,125.0,56.5,2.1
 GLC Class,2018.0,27590,Semi-Auto,16776.0,Diesel,145.0,56.5,2.1
 CLS Class,2019.0,39995,Automatic,30000.0,Diesel,150.0,47.9,2.9
 GLC Class,2019.0,35000,Semi-Auto,10810.0,Diesel,145.0,40.9,2.0
 B Class,2017.0,16998,Semi-Auto,2174.0,Diesel,150.0,68.9,2.1
 GLA Class,2018.0,23512,Semi-Auto,12796.0,Diesel,145.0,56.5,2.1
 E Class,2016.0,17495,Automatic,40000.0,Diesel,145.0,54.3,3.0
 E Class,2019.0,25780,Semi-Auto,13443.0,Diesel,145.0,72.4,2.0
 GLE Class,2019.0,48766,Semi-Auto,1857.0,Diesel,145.0,36.7,2.0
 E Class,2016.0,21999,Semi-Auto,41090.0,Petrol,235.0,37.7,3.5
 A Class,2019.0,25079,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 C Class,2017.0,24360,Semi-Auto,14346.0,Diesel,145.0,65.7,2.1
 GLC Class,2016.0,22498,Semi-Auto,25220.0,Diesel,125.0,56.5,2.1
 B Class,2016.0,14699,Automatic,21775.0,Diesel,20.0,68.9,2.1
 A Class,2014.0,10795,Manual,71240.0,Diesel,30.0,62.8,2.1
 C Class,2019.0,29890,Semi-Auto,1587.0,Diesel,145.0,60.1,1.6
 A Class,2019.0,23979,Semi-Auto,16.0,Diesel,145.0,56.5,2.0
 C Class,2019.0,62399,Semi-Auto,7580.0,Petrol,145.0,28.0,4.0
 CL Class,2017.0,18956,Semi-Auto,23592.0,Diesel,20.0,67.3,2.1
 C Class,2019.0,34399,Semi-Auto,3353.0,Diesel,145.0,55.4,2.0
 C Class,2017.0,17681,Semi-Auto,16607.0,Petrol,145.0,51.4,2.0
 CL Class,2018.0,19990,Semi-Auto,42635.0,Diesel,150.0,67.3,2.1
 C Class,2019.0,20149,Semi-Auto,11785.0,Petrol,145.0,46.3,1.5
 A Class,2017.0,16499,Automatic,40381.0,Diesel,20.0,74.3,1.5
 E Class,2016.0,19999,Semi-Auto,27663.0,Diesel,30.0,65.7,2.0
 C Class,2019.0,29000,Semi-Auto,5937.0,Petrol,145.0,44.1,1.5
 C Class,2016.0,17500,Automatic,23112.0,Diesel,30.0,64.2,2.1
 GLE Class,2016.0,28799,Semi-Auto,36500.0,Diesel,260.0,42.8,3.0
 A Class,2017.0,16750,Semi-Auto,30000.0,Diesel,20.0,68.9,2.1
 GLE Class,2019.0,48490,Automatic,1483.0,Diesel,145.0,36.7,2.0
 A Class,2016.0,13950,Automatic,40000.0,Diesel,20.0,74.3,1.5
 B Class,2020.0,26000,Semi-Auto,4000.0,Diesel,145.0,55.4,2.0
 C Class,2019.0,28795,Semi-Auto,11054.0,Diesel,145.0,54.3,2.0
 A Class,2020.0,24495,Manual,2999.0,Petrol,145.0,28.5,1.3
 C Class,2020.0,35491,Semi-Auto,2669.0,Diesel,145.0,48.7,2.0
 C Class,2014.0,12990,Automatic,76000.0,Diesel,30.0,64.2,2.1
 C Class,2017.0,21535,Automatic,21149.0,Diesel,145.0,65.7,2.1
 CLS Class,2019.0,45699,Semi-Auto,3443.0,Diesel,145.0,47.9,2.9
 C Class,2019.0,24499,Semi-Auto,12902.0,Diesel,145.0,61.4,2.0
 C Class,2018.0,29498,Semi-Auto,6265.0,Diesel,145.0,54.3,2.0
 C Class,2016.0,16562,Automatic,49126.0,Hybrid,0.0,134.5,2.0
 E Class,2019.0,45995,Automatic,922.0,Diesel,145.0,47.1,3.0
 A Class,2014.0,11990,Manual,61307.0,Diesel,20.0,70.6,1.5
 E Class,2017.0,19000,Automatic,44784.0,Diesel,20.0,67.3,2.0
 A Class,2017.0,15000,Automatic,12891.0,Petrol,145.0,55.4,1.6
 E Class,2020.0,37998,Automatic,1000.0,Diesel,145.0,70.6,2.0
 A Class,2019.0,20380,Semi-Auto,12326.0,Diesel,145.0,65.7,1.5
 GLC Class,2019.0,76989,Automatic,3012.0,Petrol,145.0,22.1,4.0
 GLE Class,2017.0,28998,Automatic,30854.0,Diesel,200.0,47.9,2.1
 A Class,2020.0,24260,Semi-Auto,5501.0,Diesel,145.0,56.5,2.0
 E Class,2019.0,25449,Semi-Auto,6937.0,Diesel,145.0,72.4,2.0
 A Class,2019.0,22850,Automatic,6202.0,Diesel,145.0,56.5,2.0
 GLA Class,2018.0,31990,Automatic,23573.0,Petrol,150.0,38.2,2.0
 V Class,2018.0,18998,Manual,28702.0,Diesel,145.0,46.3,2.1
 A Class,2019.0,21349,Semi-Auto,3345.0,Petrol,145.0,53.3,1.3
 GLA Class,2018.0,22162,Automatic,13249.0,Diesel,145.0,56.5,2.1
 GLE Class,2016.0,23995,Automatic,38000.0,Diesel,200.0,47.9,2.1
 C Class,2019.0,30849,Semi-Auto,8473.0,Diesel,145.0,54.3,2.0
 C Class,2018.0,21980,Semi-Auto,8024.0,Diesel,145.0,60.1,2.1
 GLC Class,2017.0,27980,Semi-Auto,27002.0,Diesel,150.0,56.5,2.1
 A Class,2016.0,18942,Semi-Auto,27905.0,Diesel,20.0,67.3,2.1
 C Class,2016.0,16990,Semi-Auto,35394.0,Diesel,30.0,64.2,2.1
 GLC Class,2016.0,21000,Automatic,57454.0,Diesel,125.0,56.5,2.1
 SL CLASS,2016.0,18998,Semi-Auto,29302.0,Diesel,30.0,70.6,2.1
 A Class,2014.0,12498,Semi-Auto,35677.0,Diesel,20.0,68.9,2.1
 E Class,2014.0,13590,Semi-Auto,34840.0,Diesel,125.0,58.9,2.1
 E Class,2009.0,6999,Automatic,114000.0,Diesel,235.0,44.1,2.1
 E Class,2018.0,31980,Semi-Auto,13475.0,Diesel,145.0,70.6,2.0
 E Class,2017.0,19899,Semi-Auto,13959.0,Diesel,20.0,72.4,2.0
 X-CLASS,2019.0,28945,Automatic,500.0,Diesel,260.0,35.8,2.3
 A Class,2016.0,15900,Automatic,31281.0,Diesel,20.0,68.9,2.1
 X-CLASS,2018.0,36790,Automatic,9500.0,Diesel,260.0,31.4,3.0
 GLA Class,2019.0,22980,Manual,2717.0,Petrol,145.0,37.7,1.6
 A Class,2019.0,26089,Automatic,1000.0,Diesel,145.0,56.5,2.0
 E Class,2019.0,27980,Semi-Auto,13975.0,Diesel,145.0,65.7,2.0
 C Class,2008.0,4295,Automatic,112455.0,Diesel,260.0,42.2,2.1
 C Class,2019.0,23399,Semi-Auto,3342.0,Petrol,145.0,44.1,1.5
 C Class,2016.0,17900,Automatic,31000.0,Petrol,145.0,49.6,2.0
 A Class,2013.0,11000,Manual,55312.0,Diesel,125.0,61.4,1.8
 GLC Class,2018.0,27750,Automatic,15516.0,Petrol,150.0,43.5,2.0
 A Class,2017.0,15980,Automatic,11607.0,Petrol,150.0,55.4,1.6
 GLA Class,2019.0,25499,Semi-Auto,971.0,Diesel,145.0,64.2,2.1
 GLE Class,2019.0,62495,Semi-Auto,11545.0,Petrol,145.0,23.9,5.5
 E Class,2019.0,34980,Semi-Auto,2003.0,Diesel,145.0,57.7,2.0
 A Class,2017.0,15943,Semi-Auto,19130.0,Diesel,145.0,70.6,2.1
 C Class,2019.0,31999,Semi-Auto,1000.0,Diesel,145.0,61.4,2.0
 C Class,2017.0,20988,Automatic,30728.0,Petrol,145.0,47.1,2.0
 B Class,2020.0,24699,Automatic,2500.0,Diesel,145.0,55.4,2.0
 A Class,2013.0,15498,Semi-Auto,27415.0,Petrol,160.0,44.1,2.0
 GLA Class,2019.0,22999,Semi-Auto,12217.0,Diesel,145.0,67.3,2.1
 C Class,2020.0,30500,Semi-Auto,100.0,Diesel,145.0,64.2,2.0
 GLA Class,2016.0,17991,Semi-Auto,26193.0,Diesel,125.0,56.6,2.1
 GLA Class,2020.0,23990,Semi-Auto,2500.0,Petrol,145.0,37.2,1.6
 B Class,2018.0,17760,Semi-Auto,12370.0,Diesel,150.0,68.9,2.1
 A Class,2018.0,19498,Semi-Auto,12353.0,Petrol,145.0,53.3,1.3
 GL Class,2017.0,26999,Automatic,10881.0,Diesel,145.0,56.5,2.1
 GLA Class,2016.0,16580,Automatic,61356.0,Diesel,125.0,56.5,2.1
 CL Class,2015.0,16999,Manual,27000.0,Diesel,30.0,64.2,2.1
 C Class,2017.0,18865,Automatic,15021.0,Diesel,145.0,64.2,2.1
 C Class,2013.0,9995,Automatic,44900.0,Petrol,160.0,46.3,1.6
 CL Class,2016.0,14980,Manual,56245.0,Diesel,20.0,67.3,2.1
 A Class,2018.0,15095,Manual,13000.0,Petrol,145.0,51.4,1.6
 GLA Class,2019.0,23150,Automatic,10251.0,Petrol,150.0,36.2,1.6
 C Class,2016.0,18200,Automatic,42000.0,Diesel,20.0,68.9,2.1
 C Class,2019.0,27780,Semi-Auto,7109.0,Diesel,145.0,60.1,1.6
 C Class,2015.0,18999,Automatic,28000.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,19999,Semi-Auto,12668.0,Petrol,145.0,46.3,1.5
 GL Class,2016.0,35371,Automatic,14253.0,Diesel,325.0,36.2,3.0
 A Class,2016.0,15790,Manual,20565.0,Diesel,30.0,62.8,2.1
 A Class,2017.0,16868,Semi-Auto,18254.0,Diesel,150.0,74.3,1.5
 C Class,2019.0,29599,Semi-Auto,8746.0,Diesel,145.0,57.7,2.0
 CL Class,2019.0,25495,Semi-Auto,5999.0,Petrol,145.0,44.8,1.3
 A Class,2017.0,16592,Semi-Auto,28082.0,Diesel,145.0,70.6,2.1
 SL CLASS,2017.0,22498,Semi-Auto,11534.0,Diesel,145.0,70.6,2.1
 A Class,2014.0,15323,Automatic,63998.0,Petrol,200.0,42.8,2.0
 C Class,2019.0,30899,Automatic,860.0,Petrol,145.0,46.3,1.5
 C Class,2017.0,16600,Automatic,27447.0,Diesel,30.0,64.2,2.1
 E Class,2016.0,18295,Semi-Auto,20582.0,Diesel,125.0,58.9,2.1
 C Class,2019.0,29998,Semi-Auto,28000.0,Petrol,145.0,44.1,2.0
 GLA Class,2014.0,13900,Manual,22118.0,Diesel,30.0,62.8,2.1
 C Class,2019.0,31980,Semi-Auto,16.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,21291,Semi-Auto,13361.0,Diesel,145.0,67.3,1.5
 M Class,2013.0,15990,Automatic,51800.0,Diesel,200.0,44.8,2.1
 E Class,2019.0,25149,Semi-Auto,10652.0,Diesel,145.0,72.4,2.0
 C Class,2013.0,9881,Automatic,50591.0,Petrol,160.0,46.3,1.6
 E Class,2017.0,19998,Semi-Auto,46230.0,Diesel,145.0,67.3,2.0
